"avg_salary_rank","company_name","avg_salary","min_salary","max_salary"
"1","Netflix","428375.00","106000.0","680000.0"
"2","Dow Jones","377500.00","377500.0","377500.0"
"3","Eleven Recruiting","350000.00","350000.0","350000.0"
"3","Moonvalley","350000.00","350000.0","350000.0"
"4","OpenAI","315000.00","315000.0","315000.0"
"5","Tenstorrent Inc.","300000.00","300000.0","300000.0"
"6","Block","272500.00","272500.0","272500.0"
"7","ByteDance","269570.63","161975.0","410000.0"
"8","PlayStation Global","269000.00","269000.0","269000.0"
"9","DW Simpson","268000.00","268000.0","268000.0"
"10","Chan Zuckerberg Initiative","267500.00","267500.0","267500.0"
